Nome,Stato,Altitudine (m),Latitudine,Longitudine,Regione/Cantone/Bundesland,Provincia/Distretto,Tipo strada,Superficie,Rif. strada,Wikipedia
Passo della Forcella,Italia,910,46.0708706,11.5924163,Trentino-Alto Adige/Südtirol,Trento,secondary,asphalt,SP78,https://it.wikipedia.org/wiki/Passo_della_Forcella_%28Trentino-Alto_Adige%29
Passo di Monte Veri,Italia,1077,44.6220631,9.3729802,Emilia-Romagna,Piacenza,secondary;tertiary,asphalt,SP52;SP72,
Sella della Giassina,Italia,926,44.4895468,9.1878066,Liguria,Genova,secondary,asphalt,SP21,
Passo della Borcola,Italia,1207,45.8291608,11.2056337,Trentino-Alto Adige/Südtirol,Trento,secondary,asphalt,SP138,https://it.wikipedia.org/wiki/Passo_della_Borcola
Passo San Udalrico,Italia,585,45.9750476,10.9749759,Trentino-Alto Adige/Südtirol,Trento,secondary,asphalt,SP84,
Genna Antini,Italia,878,39.9325955,9.4804428,Sardegna,Nuoro,primary,asphalt,SS389,
Passo Bordala,Italia,1250,45.9071405,10.9771399,Trentino-Alto Adige/Südtirol,Trento,secondary,asphalt,SP88,https://it.wikipedia.org/wiki/Passo_Bordala
Passo Santa Barbara,Italia,1169,45.8962966,10.9403437,Trentino-Alto Adige/Südtirol,Trento,tertiary,asphalt,SP48,
Colle del Nivolet,Italia,2612,45.4792099,7.1423209,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,tertiary,asphalt,,https://it.wikipedia.org/wiki/Colle_del_Nivolet
Bocca del Creer,Italia,1617,45.7986048,10.8937523,Trentino-Alto Adige/Südtirol,Trento,tertiary,asphalt,SP3,
Colle del Melogno,Italia,1028,44.2302874,8.196958,Liguria,Savona,secondary,asphalt,SP490,https://it.wikipedia.org/wiki/Colle_del_Melogno
Pian delle Fugazze,Italia,1163,45.7601964,11.1733246,Trentino-Alto Adige/Südtirol,Trento,primary,asphalt,SS46,https://it.wikipedia.org/wiki/Pian_delle_Fugazze
Passo di Monte Faè,Italia,932,45.8711714,10.9793966,Trentino-Alto Adige/Südtirol,Trento,tertiary;track,asphalt,SP45,
Portella di Blasi,Italia,552,37.8964054,13.4848368,Sicilia,Palermo,secondary,asphalt,SP77,
Forcella Valbona,Italia,1785,45.8682231,11.2719171,Veneto,Vicenza,tertiary,asphalt,SP92,
Bocchetta degli Alpini,Italia,1566,45.8754284,11.2982449,Veneto,Vicenza,tertiary,asphalt,SP92,
Passo Xomo,Italia,1058,45.7771002,11.2375529,Veneto,Vicenza,unclassified,asphalt,,https://it.wikipedia.org/wiki/Passo_Xomo
Goletto di Gaver,Italia,1795,45.9142334,10.4371234,Lombardia,Brescia,secondary;track,asphalt,SPBS669,
Passo della Ritorta,Italia,1450,44.6973459,9.25356,Lombardia,Pavia,secondary,asphalt,SP88,
Passo del Sugame,Italia,530,43.5981401,11.3635757,Toscana,Firenze,secondary,asphalt,SP16,
Passo Ferrarino,Italia,899,44.4305619,10.2653881,Emilia-Romagna,Reggio nell'Emilia,secondary,asphalt,SP15,
Passo Campo Carlo Magno,Italia,1682,46.24312,10.8402325,Trentino-Alto Adige/Südtirol,Trento,primary,asphalt,SS239,https://en.wikipedia.org/wiki/Campo_Carlo_Magno
Bassa della Scoggia,Italia,0,44.2472307,8.2620335,Liguria,Savona,secondary;track,asphalt,SP23,
Bocchetta di Sette Sorelle,Italia,817,44.7138856,9.7813008,Emilia-Romagna,Parma,secondary;unclassified,asphalt,SP359R,
Valico di Monte Pelizzone,Italia,1044,44.6798626,9.7439378,Emilia-Romagna,Piacenza,path;secondary;track,asphalt,SP359R,https://it.wikipedia.org/wiki/Passo_del_Pellizzone
Passo del Durone,Italia,1010,46.0371743,10.795667,Trentino-Alto Adige/Südtirol,Trento,tertiary,asphalt,SP222,
Colle di Caf,Italia,1242,45.7521101,9.9656871,Lombardia,Bergamo,unclassified,asphalt,,
Colle d'Oggia,Italia,1157,43.982426,7.8697558,Liguria,Imperia,secondary,asphalt,SP21,
Cocca di Lodrino,Italia,735,45.7118669,10.2861765,Lombardia,Brescia,residential;secondary;track;unclassified,asphalt,SPIII,
Colle Langan,Italia,1127,43.9678701,7.7316187,Liguria,Imperia,secondary;tertiary,asphalt,SP65;SP67,
Passo Zovo,Italia,631,45.6839681,11.3097585,Veneto,Vicenza,secondary;service,asphalt,SP45,https://it.wikipedia.org/wiki/Passo_dello_Zovo
Passo Lanciano,Italia,1318,42.1889481,14.1045022,Abruzzo,Pescara,tertiary,asphalt,SP220,https://it.wikipedia.org/wiki/Passo_Lanciano
Passo Ciola,Italia,580,43.9796467,12.1396984,Emilia-Romagna,Forlì-Cesena,tertiary,asphalt,SP53,
Sella di Villanoce,Italia,950,44.5210047,9.4181076,Liguria,Genova,primary,asphalt,SS654,
Passo del Tomarlo,Italia,1482,44.5359135,9.5011637,Liguria,Genova,primary,asphalt,SS654,https://it.wikipedia.org/wiki/Passo_del_Tomarlo
Colle della Cavallina,Italia,1940,44.5270182,7.1040275,Piemonte,Cuneo,tertiary;unclassified,asphalt,,
